,country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
0,United States of America,"Tastes unnatural and manipulated, with sugary sweet orange and apricot jam fruit flavors, highlighted by uncomfortably sour acidity.",,82,26.0,California,Napa Valley,Frog's Leap 2010 Chardonnay (Napa Valley),Chardonnay,Frog's Leap,2010,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.023468,-84.45046500000001,243,18,13.4,750.0,White,not_imported
1,United States of America,"Fairly simple in appeal, with candied, sweet and sour cherry flavors, like a cough drop. Tannic, too, hitting the palate with sandpapery astringency. But earns extra credit for dryness and a rich smoked meat note that makes it a partner for barbecue.",Poizin,87,25.0,California,Sonoma County,Armida 2009 Poizin Zinfandel (Sonoma County),Zinfandel,Armida,2009,"Sonoma County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.51108,-122.84733899999999,27,42,14.5,750.0,Red,not_imported
2,United States of America,"An extremely fragrant, concentrated and rich Cabernet from Lake County's most promising red dirt. The wine opens with a heady air of blackberry jam and violets and tastes like cassis liqueur. It's well integrated, still a little dusty, finishing with flavors of mint chocolate. Ready to drink now, this Cab should be even better in 3–5 years.",,90,70.0,California,Red Hills Lake County,Fortress 2007 Cabernet Sauvignon (Red Hills Lake County),Cabernet Sauvignon,Fortress,2007,"Red Hills Lake County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,57,14.9,750.0,Red,not_imported
3,United States of America,"A bold take on a tough grape, this bottling, which also features 20% Roussanne and 3% Grenache Blanc, offers creamy and elegant lemon curd and the slightest touch of marshmallow on the nose, which is then cut by chalky minerality. The palate is oily yet sharp, with dried apple peel and walnut flavors.",Claudia Cuvee,88,35.0,California,Adelaida District,Alta Colina 2013 Claudia Cuvee Marsanne (Adelaida District),Marsanne,Alta Colina,2013,"Adelaida District,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,53,13.9,750.0,White,not_imported
4,Portugal,"Finely structured and with a good balance between acidity and ripe black fruits, this is a perfumed wine. It is densely textured, firm and keeping plenty of fruit. Drink this wine from 2017.",Quinto Elemento Reserva,89,30.0,Tejo,,Quinta do Arrobe 2012 Quinto Elemento Reserva Syrah (Tejo),Syrah,Quinta do Arrobe,2012,"Tejo,Portugal",16.07577561,9.483322288,3.3539810310000004,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,33,14.0,750.0,Red,Simoes Imports
5,Greece,"Honey, lemon and an herbal spin on the nose give this wine a distinctive start. Flavors of clean, zesty citrus and a spin of ripe melon add to the elegance. Easy to drink but elegant.",Demestica White,88,13.0,Peloponnese,,Achaia Clauss 2015 Demestica White Moschofilero (Peloponnese),Moschofilero,Achaia Clauss,2015,"Peloponnese,Greece",15.67276666,16.09409428,5.652146887000001,42.29539444,67.32253803,22.30290485,37.252854,22.232602,1023,35,12.5,750.0,White,"Stellar Importing Company, LLC"
6,United States of America,"You have to love the '07 vintage. This is drinking beautifully right now, though official release (September) is still a ways off. Rich and delicious, full-bodied and aromatic, with exotic barrel scents and a lovely mélange of chocolate, mocha, caramel and spice. But the fruit is the main story, and it's full, ripe and substantial—cherry and cassis, licorice and just a hint of leaf.",Red Wine,93,35.0,Washington,Columbia Valley (WA),Quilceda Creek 2007 Red Wine Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Quilceda Creek,2007,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,46.294767,-117.91747,711,64,750.0,750.0,Red,not_imported
7,New Zealand,"From a veteran Marlborough producer, this is an interesting mix of sweetness, tartness and herbaceousness. A honeyed note doesn't quite mesh with the leafy, herbal overtones, while crisp acids come on strong on the finish.",,84,16.0,Marlborough,,Allan Scott 2009 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Allan Scott,2009,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.07311159999999,41.56097643,12.69657044,-41.474475,173.833026,44,35,13.0,750.0,White,Allan Scott Wine & Estates
8,France,"Velvety textured and full in weight with moderate tannic presence, this wine is powerful while remaining immediately approachable. Black cherry, blueberry, menthol and iris aromas lead into the palate of stewed red berries, pepper and eucalyptus leaves. A lingering finish of muted thin mint closes beautifully.",Cuvée Tradition,88,13.0,Languedoc-Roussillon,Corbières,Chateau Les Palais 2004 Cuvee Tradition Red (Corbieres),Rhône-style Red Blend,Château Les Palais,2004,"Corbières,Languedoc-Roussillon,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,43.761377,5.749643,297,46,12.5,750.0,Red,IBESC Wine Distributor
9,United States of America,"Caramelized blackberries, black plum, lilacs and milk chocolate make for a nicely rounded nose. Baked blackberry and blueberry meet with vanilla and oak flavors on the palate, which is held up by solid tannins.",Serenade,92,32.0,California,Paso Robles,Opolo 2012 Serenade Cabernet Sauvignon-Malbec (Paso Robles),Cabernet Sauvignon-Malbec,Opolo,2012,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,35.626765,-120.69124599999999,231,34,14.0,750.0,Red,not_imported
10,United States of America,"Smells of rust, iron, tomato and untracked peppercorns rise to the nose. On the palate, the wine is quite light and racy, with a little boysenberry and more sanguine flavors. Hold onto this one until 2016 for maximum enjoyment, as more flavors will emerge.",Guidotti Vineyard,88,61.0,California,Santa Lucia Highlands,Testarossa 2012 Guidotti Vineyard Pinot Noir (Santa Lucia Highlands),Pinot Noir,Testarossa,2012,"Santa Lucia Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,44,14.5,750.0,Red,not_imported
11,France,"As if to emphasize that Petit Chablis has an important place in the Chablis hierarchy, the Chablis cooperative produces its aptly named Pas si Petit—”not so little.” It's a soft, immediately drinkable wine, full of ripe lime and pear flavor. It is light and ready to drink.",Pas si Petit,85,19.0,Burgundy,Petit Chablis,La Chablisienne 2013 Pas si Petit  (Petit Chablis),Chardonnay,La Chablisienne,2013,"Petit Chablis,Burgundy,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,47.811775,3.801962,137,47,,,no_category,not_imported
12,France,"This wine is tight, nervy and crisp, with a strongly mineral texture. There is good acidity, crisp and textured. Apples and citrus dominate this structured wine. Drink from 2019.",Montée de Tonnerre Premier Cru,91,53.0,Burgundy,Chablis,Chanson Pere et Fils 2013 Montee de Tonnerre Premier Cru  (Chablis),Chardonnay,Chanson Père et Fils,2013,"Chablis,Burgundy,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,47.815207,3.8001660000000004,139,29,,,no_category,not_imported
13,Italy,"Subdued aromas suggest red berry and a hint of dried herb. The tight palate shows red raspberry, raw cherry and a hint of cinnamon while rather austere tannins and brisk acidity provide support.",Alta Mora Rosso,88,25.0,Sicily & Sardinia,Etna,Cusumano 2013 Alta Mora Rosso  (Etna),Red Blend,Cusumano,2013,"Etna,Sicily & Sardinia,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,37.751025,14.994032,3264,33,,,no_category,not_imported
14,United States of America,"The cherry, red currant, cola and oak flavors are delicious on this bone-dry Cab. Structuraly, however, the wine is so soft that the palate searches in vain for firmness and grip to complete the flavor experience.",GBH,84,75.0,California,Napa Valley,Heibel Ranch 2010 GBH Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Heibel Ranch,2010,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.023468,-84.45046500000001,243,36,14.5,750.0,Red,not_imported
15,Chile,A neutral nose offers mild notes of minerally rich vitamin but almost no discernible fruit. Lightly oaked pear flavors are distant and turn bitter in front of a finish that stands still.,Reserva Casillero del Diablo,84,11.0,Chile,,Concha y Toro 2015 Reserva Casillero del Diablo Chardonnay (Chile),Chardonnay,Concha y Toro,2015,"Chile,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-31.761336,-71.31877,628,32,13.5,750.0,White,Excelsior Wines
16,United States of America,"Yorkville has been making this blend of Sémillon and Sauvignon Blanc (for this vintage it's 60% the first and 40% the latter), for many of its 25 years, and it achieves a nice balance, the Sémillon there for richness, texture and color, the SB for acidity and the wine's citrus and herb finish. Made from organic grapes.",Eleanor of Aquitaine,87,25.0,California,Yorkville Highlands,Yorkville Cellars 2010 Eleanor of Aquitaine White (Yorkville Highlands),White Blend,Yorkville Cellars,2010,"Yorkville Highlands,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.78373,-100.445882,833,57,13.5,750.0,White,not_imported
17,United States of America,"The structure on this Pinot Noir is great, with brisk acidity and firm tannins accompanying dry flavors. There are succulent notes of sour cherry and raspberry candy, tart pomegranates and cola, but the wine is rustic, with no future.",Hitching Post Hometown,85,21.0,California,Santa Barbara County,Hartley-Ostini 2012 Hitching Post Hometown Pinot Noir (Santa Barbara County),Pinot Noir,Hartley-Ostini,2012,"Santa Barbara County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,34.713653,-119.985823,934,39,13.5,750.0,Red,not_imported
18,France,The wine has tannins and a dry core that is fleshed out with red-berry fruits. At three-years-old it is already maturing with a rustic edge as well as spice and berry fruits. This is ready to drink.,Clos de Grands Voyens Premier Cru,87,35.0,Burgundy,Mercurey,Domaine Jeannin-Naltet 2013 Clos de Grands Voyens Premier Cru  (Mercurey),Pinot Noir,Domaine Jeannin-Naltet,2013,"Mercurey,Burgundy,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,46.836428999999995,4.716996,240,37,,,no_category,not_imported
19,France,"This second wine of the Haut-Brion's newly acquired Château Quintus is rich, with layers of black plums and dense juicy tannins. A dark Merlot-dominated wine, it's smooth and likely to be ready soon. Drink from 2017.",Le Dragon de Quintus,91,,Bordeaux,Saint-Émilion,Chateau Quintus 2012 Le Dragon de Quintus  (Saint-Emilion),Bordeaux-style Red Blend,Château Quintus,2012,"Saint-Émilion,Bordeaux,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,44.893145000000004,-0.156066,69,36,,,no_category,not_imported
20,United States of America,"This is a meaty and soft wine with a lot of power behind it. Plummy, slightly jammy yet structured, it features appropriate accents of peppercorn, cedar and toasted oak. Full bodied, it's enjoyable now and a deal to boot.",Diamond Dust Vineyard,89,19.0,California,Alexander Valley,Trig Point 2013 Diamond Dust Vineyard Merlot (Alexander Valley),Merlot,Trig Point,2013,"Alexander Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.469459,-99.55317,642,39,14.5,750.0,Red,not_imported
21,United States of America,"Although this wine is listed as a white blend, the producer says the variety is Vernaccia, not found often in California. Light in alcohol and approach, it opens in a bouquet of waxy apple and Meyer lemon, followed by a medium-powered palate of pear. The finish is crisp and lean.",Santo Giordano Vineyard Belle Torrette,90,26.0,California,Carneros,Paro 2014 Santo Giordano Vineyard Belle Torrette White (Carneros),White Blend,Paro,2014,"Carneros,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,35.433993,-119.87577399999999,518,50,12.8,750.0,White,not_imported
22,France,"A touch of funkiness hovers over fresh pear notes. The palate then offers fresh-faced, tart and ripe pear notes, etched with citrus freshness for extra precision and purity. This is so inviting and disarming, it is a joy to savor. Despite the generously ripe fruit, a coolness runs through this, anchoring the flavors in freshness and drive. Simply delicious and so balanced, so you can enjoy it now, though it will cellar well through 2027.",Roche Calcaire,94,55.0,Alsace,Alsace,Domaine Zind-Humbrecht 2015 Roche Calcaire Pinot Gris (Alsace),Pinot Gris,Domaine Zind-Humbrecht,2015,"Alsace,Alsace,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,75,13.0,750.0,White,Kobrand
23,Spain,"Floral and lightly earthy on the nose, with a touch of latex. Feels fresh and pure, with fine acidity pressing bright flavors of red cherry and raspberry. Gets toastier and darker on the finish, ending with spice and clarity.",Loriñon Crianza,86,13.0,Northern Spain,Rioja,Bodegas Breton 2008 Lorinon Crianza  (Rioja),Tempranillo,Bodegas Breton,2008,"Rioja,Northern Spain,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.328553,-2.467492,826,39,,,no_category,not_imported
24,Austria,"Zesty green citrus with lifted notes of Conference pear strike out for a fruity opening. The palate follows up with concentrated spiciness and even more grapefruit zest. This is lively, taut, slender, refreshing and full of tension, with an appetizing edge of pepper.",Kittmannsberg,91,14.0,Kamptal,,Nastl 2014 Kittmannsberg Gruner Veltliner (Kamptal),Grüner Veltliner,Nastl,2014,"Kamptal,Austria",7.394704769,19.45019365,6.7925617460000005,80.54383606,50.32248083,15.54089694,48.380713,16.524664,171,43,12.5,750.0,White,Wine Without Borders
25,Greece,"Luscious aromas of ripe peach and citrus are followed by balanced waves of peach, lemon curd and melon on the palate. Soft in style and approachable, this is a good everyday white that drinks very well on its own or paired with poultry, salads.",,85,17.0,Mantinia,,Boutari 2010 Moschofilero (Mantinia),Moschofilero,Boutari,2010,"Mantinia,Greece",15.67276666,16.09409428,5.652146887000001,42.29539444,67.32253803,22.30290485,39.78373,-100.445882,833,44,11.5,750.0,White,Terlato Wines International
26,Spain,"An Albariño with some body and complexity, Nora's single-vineyard, barrel-aged wine is definitely an oaky one. It has lots of wood dust, vanilla and lemon curd on the nose. The flavor profile is led by apples and cinnamon (from the oak), and it flows well. Not a sticky, overoaked load; instead it has balance and quasi-Burgundian feel.",,89,28.0,Galicia,Rías Baixas,Nora da Neve 2006 Albarino (Rias Baixas),Albariño,Nora da Neve,2006,"Rías Baixas,Galicia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.402507,-8.808344,28,57,13.0,750.0,White,Fine Estates From Spain
27,United States of America,"A powerful aroma of incense arises on the nose of this bottling, along with thyme, rosemary and a pomegranate touch. That herbal presence is strong on the sip as well, with more thyme and oregano as well as juniper and forest floor. Dark-red fruit gives it a base, and the finish shows off a menthol element.",J.D.Hurley R.E.D. Vineyards,88,22.0,California,Central Coast,Martin Ranch 2014 J.D.Hurley R.E.D. Vineyards Pinot Noir (Central Coast),Pinot Noir,Martin Ranch,2014,"Central Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,-33.31171,151.31206699999998,176,56,,,no_category,not_imported
28,United States of America,"Saffron and spice pepper fresh lemon and grapefruit aromas on this exceptionally sheer, savory dry Riesling. A haze of citrus flavors fall like gossamer on the palate, extended by layers of dusty minerals on the finish.",Lahoma Vineyard The Knoll,87,35.0,New York,Finger Lakes,Red Newt Cellars 2013 Lahoma Vineyard The Knoll Riesling (Finger Lakes),Riesling,Red Newt Cellars,2013,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,39.621495,-84.198677,277,36,11.2,750.0,White,not_imported
29,Argentina,"Floral, young and jumpy smelling, with gumball aromas that leave you with the impression that the wine's clarity, balance and purity may be tenuous. The palate is raw but fresh, with simple but snappy wild berry flavors. Not a lot of structure or depth here.",,83,9.0,Mendoza Province,Mendoza,Tupun 2006 Malbec (Mendoza),Malbec,Tupun,2006,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,45,13.0,750.0,Red,InterBev
30,Argentina,"Citrus peel, melon and peach aromas are ordinary. This feels pithy and citric, while flavors of white grapefruit and underripe stone fruits finish almondy and bitter.",B Crux,84,21.0,Mendoza Province,Uco Valley,O. Fournier 2013 B Crux Sauvignon Blanc (Uco Valley),Sauvignon Blanc,O. Fournier,2013,"Uco Valley,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.578846999999996,-58.435308,17,26,,,no_category,not_imported
31,United States of America,"Blackberries and some funk in the nose: earth, leather, even a whiff of banana. Dark chocolate and an interesting citrus element add character to the standard berry fruit in the mouth. It's youthful juice, needing time to flesh itself out; now there's a lot of rambunctious black oak, which makes the wine seem a bit one-dimensional.",,89,50.0,California,Howell Mountain,Pine Ridge 1997 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Pine Ridge,1997,"Howell Mountain,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.580219,-122.43138400000001,572,56,14.2,750.0,Red,not_imported
32,France,"Fresh pear notes and a touch of white blossom appear on the nose. The palate is rounded with fruit and a touch of flavor-boosting residual sweetness. This is easy but generous, full of ripe pear fruit.",,89,16.0,Alsace,Alsace,Koenig 2015 Pinot Gris (Alsace),Pinot Gris,Koenig,2015,"Alsace,Alsace,France",10.99569921,14.43840141,5.0741465560000005,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,36,13.0,750.0,White,Royal Wine Corporation
33,United States of America,"Oak dominates this wine, with vanilla, chocolate, buttered toast and caramel aromas and flavors. Under all that you'll find some good, ripe black cherry fruit. With soft tannins, it's ready to drink now.",Summers Ranch Reserve,87,30.0,California,Knights Valley,Summers 2008 Summers Ranch Reserve Merlot (Knights Valley),Merlot,Summers,2008,"Knights Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,44.888928,-116.072722,1593,33,14.2,750.0,Red,not_imported
34,United States of America,"There is an impressive, laser-focused minerality on the nose of this bottling, as an aroma of just-carved limestone meets with slivers of strawberry, peach, citrus and apple. A tart red-melon character shows on the citrus-laced palate, where the bubbles are light as air.",El Jabalí Vineyard Brut Rosé,92,58.0,California,Sta. Rita Hills,Alma Rosa 2014 El Jabali Vineyard Brut Rose Sparkling (Sta. Rita Hills),Sparkling Blend,Alma Rosa,2014,"Sta. Rita Hills,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,14.560514999999999,121.042525,17,43,,,no_category,not_imported
35,United States of America,"The largest production offering of this variety for this producer, this features fruit sourced from a who's who of local growers, including Sangiacomo, Dutton and Martinelli, in addition to the estate-run Wildcat Mountain Vineyard. The result is satisfyingly impressive in viscous oak, graham cracker and Meyer lemon. Tangy and flinty on the finish, it's smooth and focused.",,91,25.0,California,Sonoma Coast,MacRostie 2013 Chardonnay (Sonoma Coast),Chardonnay,MacRostie,2013,"Sonoma Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.416990000000006,-123.099029,68,57,14.5,750.0,White,not_imported
36,Portugal,"Big and spicy wood flavors dominate this rich, expressive wine. With its black currant and berry flavors, it's both fruity and structured. There is dense dryness as well that gives concentration to back up the fruitiness.",Solo Reserva,89,13.0,Dão,,Caves Velhas 2009 Solo Reserva Touriga Nacional (Dao),Touriga Nacional,Caves Velhas,2009,"Dão,Portugal",16.07577561,9.483322288,3.3539810310000004,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,36,,,no_category,not_imported
37,United States of America,"Every effort seems to have been made to extract the maximum amount of richness from this wine, but the result is simply heavy, not to mention oaky and drily tannic. The tastes of are ripe mashed blackberries, anise, pepper and dark, unsweetened cocoa.",Big River Ranch,86,38.0,California,Alexander Valley,Bella 2007 Big River Ranch Zinfandel (Alexander Valley),Zinfandel,Bella,2007,"Alexander Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.469459,-99.55317,642,43,14.0,750.0,Red,not_imported
38,Australia,"This wine is much more convincing than Jenke's 2005 Cabernet, reinforcing the concept that Barossa Cab typically performs better in cooler years (2002 was the coolest on record). It's still broad and mouthfilling, but the plum and cassis flavors stay this side of overripe, buttressed by plenty of smoke, vanilla and spice. Long and savory on the finish. Drink now–2015. Imported by 34th Parallel, LLC.",,91,29.0,South Australia,Barossa,Jenke 2002 Cabernet Sauvignon (Barossa),Cabernet Sauvignon,Jenke,2002,"Barossa,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-34.581713,138.99878700000002,506,65,14.0,750.0,Red,Jenke Vineyards
39,United States of America,"Sour plum, dried herb, pepper and tar scents show on the nose of this bottling from the widely available brand. The palate is tightly wound with sticky tannins, which are like to mellow with time, allowing the coffee, asphalt, elderberry and black currant flavors to shine more brightly.",Reserve,87,25.0,California,Monterey County,Estancia 2014 Reserve G-S-M (Monterey County),G-S-M,Estancia,2014,"Monterey County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,36.223108,-121.387743,443,48,14.5,750.0,Red,not_imported
40,United States of America,"The vineyard sources of Landmark's Grand Detour Pinot have varied, but the wine's quality is as high as ever. Made from five well-regarded properties, the '06 is intricately detailed, with complex flavors of dried cherries, red currants, mocha, licorice, sautéed mushrooms splashed with balsamic and smoky, vanilla-infused oak. The silky texture and spicy finish make it irresistible.",Grand Detour,93,35.0,California,Sonoma Coast,Landmark 2006 Grand Detour Pinot Noir (Sonoma Coast),Pinot Noir,Landmark,2006,"Sonoma Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.416990000000006,-123.099029,68,57,14.4,750.0,Red,not_imported
41,United States of America,"Well defined citrus and apple flavors abound, along with touches of yellow and green fruit. There's a hint of unripe papaya also, and if the wine spent any time in new oak, it's not evident.",Marsh Estate Vineyards,90,60.0,Oregon,Willamette Valley,Roco 2015 Marsh Estate Vineyards Chardonnay,Chardonnay,Roco,2015,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,45.344287,-122.66703700000001,50,35,13.5,750.0,White,not_imported
42,Portugal,"A fresh, bone-dry rosé, packed with acidity, red currants and a touch of caramel. The wine is light, summery, good for apéritif or food.",Grand'Arte Rosé,84,13.0,Estremadura,,DFJ Vinhos 2008 Grand'Arte Rose Touriga Nacional (Estremadura),Touriga Nacional,DFJ Vinhos,2008,"Estremadura,Portugal",16.07577561,9.483322288,3.3539810310000004,55.12418526,88.22825322,29.33222663,40.177384,-6.626825999999999,414,24,,,no_category,not_imported
43,Italy,"Aromas of toast, scorched earth, espresso and grilled herb come together on this structured Barbaresco. The palate is still young and a bit shy but eventually reveals dark cherry, white pepper, sage and tobacco accompanied by packed tannins that need to unwind. A licorice note signals the close.",Sorì Paitin,90,,Piedmont,Barbaresco,Paitin 2012 Sori Paitin  (Barbaresco),Nebbiolo,Paitin,2012,"Barbaresco,Piedmont,Italy",13.84565306,14.71520433,5.1695224810000004,56.19966563,56.06968785,17.68605786,44.725446999999996,8.080696000000001,249,48,,,no_category,not_imported
44,Spain,"Bready apple and spice aromas are layered, mildly complex and appealing. In the mouth, this is dry, leesy and tastes of toasted apple and nectarine. The finish hits the spot with proper weight, balance and lively acidity. Excellence in Cava may be fleeting, but this makes the grade.",Gran Reserva Brut,91,45.0,Catalonia,Cava,Agusti Torello Mata 2011 Gran Reserva Brut Sparkling (Cava),Sparkling Blend,Agustí Torelló Mata,2011,"Cava,Catalonia,Spain",15.15150141,12.36486107,4.320660018,46.86140963,57.78149558,18.66696235,42.325108,1.605788,1292,48,11.5,750.0,Sparkling,"Hidalgo Imports, LLC"
45,United States of America,"This blend of 75% Barbera and 25% Merlot smells and tastes of strawberries in dirt, a strange sensation for a wine.",Lola,80,28.0,California,Ramona Valley,Highland Hills Winery 2011 Lola Red (Ramona Valley),Red Blend,Highland Hills Winery,2011,"Ramona Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.597232,-97.061963,439,21,13.5,750.0,Red,not_imported
46,United States of America,"Plum and pomegranate play off each other in this monument to Howell Mountain, the wine dense and Rubenesque, suggesting further time in cellar, through 2022. With 1% Cabernet Franc blended in, the tannins and oak are well-integrated, spiking in tobacco and licorice.",,92,90.0,California,Howell Mountain,Pine Ridge 2012 Cabernet Sauvignon (Howell Mountain),Cabernet Sauvignon,Pine Ridge,2012,"Howell Mountain,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.580219,-122.43138400000001,572,42,15.0,750.0,Red,not_imported
47,United States of America,"This ripe, polished blend combines Zinfandel's spicy, briary quality with Syrah's peppery nobility. The wine is soft in both acids and tannins, and very flavorful, with exotic tastes of raspberries, root beer, chocolate mint and raisins.",Carmesi Syrah-Zinfandel,86,18.0,California,Calaveras County,Bodega del Sur 2002 Carmesi Syrah-Zinfandel Red (Calaveras County),Red Blend,Bodega del Sur,2002,"Calaveras County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226332999999,38.255818,-120.498149,880,36,14.3,750.0,Red,not_imported
48,Portugal,"Produced from old bush vines, this is densely rich wine, with great structure and layers of full-bodied black fruit tones. It has a fruit and acid balance supported by concentrated tannins. It does need to age, so drink from 2017.",Vinhas Velhas,90,16.0,Tejo,,Casa Cadaval 2011 Vinhas Velhas Trincadeira (Tejo),Trincadeira,Casa Cadaval,2011,"Tejo,Portugal",16.07577561,9.483322288,3.3539810310000004,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,40,,,no_category,not_imported
